Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"EURGBP, GBPJPY",0.003356,0.00406,-0.080467945,0.586638708,0.412361292,0.002479609
"EURGBP, GBPNZD",0.003356,0.004603,-0.089120157,0.640318338,0.358681662,0.002590612
"EURGBP, GBPUSD",0.003356,0.004111,0.486042623,0.690390892,0.308609109,0.003136126
"EURGBP, NZDCAD",0.003356,0.004553,0.099755821,0.662870083,0.336129917,0.002823149
"EURGBP, NZDCHF",0.003356,0.005457,0.033920978,0.731886656,0.267113344,0.002898375
"EURGBP, NZDJPY",0.003356,0.005916,-0.434897829,0.686116305,0.3128837,0.002240771
"EURGBP, NZDUSD",0.003356,0.006347,0.020505785,0.785594068,0.213405938,0.002988642
"EURGBP, USDCAD",0.003356,0.004198,0.650023753,0.800056895,0.198943105,0.003289667
"EURGBP, USDCHF",0.003356,0.004141,0.122413287,0.617065881,0.381934119,0.002755324
"EURGBP, USDJPY",0.003356,0.003077,0.152892712,0.448484812,0.550515188,0.002431956
"EURJPY, AUDCAD",0.003214,0.004195,0.321403383,0.688064185,0.310935815,0.002906211
"EURJPY, AUDCHF",0.003214,0.005417,0.257113906,0.808700343,0.190299657,0.003032508
"EURJPY, AUDJPY",0.003214,0.005327,0.533220371,0.898999235,0.100000774,0.003205271
"EURJPY, AUDNZD",0.003214,0.0025,-0.645897411,0.423908424,0.575091576,0.001180219
"EURJPY, AUDUSD",0.003214,0.006053,-0.55690228,0.690950882,0.308049118,0.001948424
"EURJPY, CADCHF",0.003214,0.004899,-0.559274332,0.630960452,0.368039554,0.001809277
"EURJPY, CADJPY",0.003214,0.004427,-0.404251709,0.611255325,0.387744675,0.002019797
"EURJPY, CHFJPY",0.003214,0.003393,-0.077623696,0.5245938,0.4744062,0.002238843
"EURJPY, EURNZD",0.003214,0.004539,-0.041995096,0.659076304,0.339923696,0.002567713
"EURJPY, GBPAUD",0.003214,0.004151,-0.224309269,0.602257284,0.396742716,0.002242514
"EURJPY, GBPCAD",0.003214,0.004095,-0.740402948,0.568540256,0.430459744,0.001294798
"EURJPY, GBPCHF",0.003214,0.004237,-0.100238574,0.622270626,0.376729374,0.002430592
"EURJPY, GBPJPY",0.003214,0.00406,-0.663320171,0.569174807,0.429825193,0.001468567
"EURJPY, GBPNZD",0.003214,0.004603,-0.628123951,0.607754385,0.391245615,0.001624673
"EURJPY, GBPUSD",0.003214,0.004111,-0.536697432,0.578754792,0.420245208,0.001730689
"EURJPY, NZDCAD",0.003214,0.004553,0.59089979,0.876844065,0.122155936,0.003178649
"EURJPY, NZDCHF",0.003214,0.005457,-0.167223706,0.710812296,0.288187704,0.0025477
"EURJPY, NZDJPY",0.003214,0.005916,-0.33850452,0.711160838,0.287839163,0.002342857
"EURJPY, NZDUSD",0.003214,0.006347,-0.167980216,0.759983524,0.239016476,0.002650044
"EURJPY, USDCAD",0.003214,0.004198,0.182767025,0.657766221,0.341233779,0.002761935
"EURJPY, USDCHF",0.003214,0.004141,0.696309348,0.880375677,0.118624324,0.003191108
"EURJPY, USDJPY",0.003214,0.003077,-0.387438921,0.48381833,0.51518167,0.001738055
"EURNZD, AUDCAD",0.004539,0.004195,0.180622512,0.451600377,0.547399626,0.003342952
"EURNZD, AUDCHF",0.004539,0.005417,-0.680019871,0.551853807,0.447146193,0.001972217
"EURNZD, AUDJPY",0.004539,0.005327,-0.177875273,0.566926886,0.432073114,0.003132466
"EURNZD, AUDNZD",0.004539,0.0025,0.245320638,0.16271857,0.836281432,0.002382051
"EURNZD, AUDUSD",0.004539,0.006053,0.373994837,0.717837397,0.281162603,0.004202427
"EURNZD, CADCHF",0.004539,0.004899,-0.22028151,0.530690393,0.468309607,0.002937888
"EURNZD, CADJPY",0.004539,0.004427,0.193343872,0.484018982,0.514981018,0.003458471
"EURNZD, CHFJPY",0.004539,0.003393,0.216924586,0.320965178,0.678034822,0.002978115
"EURNZD, GBPAUD",0.004539,0.004151,-0.414111067,0.467986997,0.531013003,0.0023437
"EURNZD, GBPCAD",0.004539,0.004095,0.175676173,0.437406117,0.561593883,0.003291614
"EURNZD, GBPCHF",0.004539,0.004237,-0.219560827,0.471337964,0.527662036,0.002734057
"EURNZD, GBPJPY",0.004539,0.00406,0.298833593,0.413397038,0.585603054,0.003440929
"EURNZD, GBPNZD",0.004539,0.004603,-0.31558459,0.504802639,0.494197362,0.002671128
"EURNZD, GBPUSD",0.004539,0.004111,0.079258283,0.445972045,0.553027955,0.00316164
"EURNZD, NZDCAD",0.004539,0.004553,0.044372122,0.501100078,0.497899922,0.003281754
"EURNZD, NZDCHF",0.004539,0.005457,0.728266168,0.819912864,0.179087136,0.004483604
"EURNZD, NZDJPY",0.004539,0.005916,0.278543934,0.676442878,0.322557122,0.004041362
"EURNZD, NZDUSD",0.004539,0.006347,-0.414718208,0.615460397,0.383539603,0.002844195
"EURNZD, USDCAD",0.004539,0.004198,0.274226612,0.445891171,0.55310883,0.003473475
"EURNZD, USDCHF",0.004539,0.004141,0.166925654,0.444656726,0.554343275,0.003299964
"EURNZD, USDJPY",0.004539,0.003077,0.474972351,0.168543228,0.830456775,0.002995313
"EURUSD, AUDCAD",0.003803,0.004195,0.45226878,0.588336828,0.410663172,0.003385339
"EURUSD, AUDCHF",0.003803,0.005417,0.093674584,0.68556664,0.313433361,0.003241857
"EURUSD, AUDJPY",0.003803,0.005327,-0.735630653,0.595164083,0.403835917,0.001608439
"EURUSD, AUDNZD",0.003803,0.0025,0.338853298,0.212024963,0.786975037,0.002365607
"EURUSD, AUDUSD",0.003803,0.006053,0.601954819,0.898998398,0.100001617,0.003814013
"EURUSD, CADCHF",0.003803,0.004899,0.468367521,0.726258354,0.272741646,0.003587576
"EURUSD, CADJPY",0.003803,0.004427,-0.20700552,0.562017844,0.436982156,0.002568816
"EURUSD, CHFJPY",0.003803,0.003393,0.197039102,0.428947167,0.570052834,0.002765065
